Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,10:37:40 08/17/2023, CCI, 21.4,46 55.56289N,017 39.41354E,0.8,12
0002,10:37:45 08/17/2023, CCI, 16.3,46 55.56324N,017 39.41406E,0.8,12
0003,10:37:51 08/17/2023, CCI, 15.1,46 55.56379N,017 39.41449E,0.8,12
0004,10:37:54 08/17/2023, CCI, 26.8,46 55.56371N,017 39.41477E,0.8,12
0005,10:37:56 08/17/2023, CCI, 13.8,46 55.56388N,017 39.41449E,0.8,12
0006,10:38:02 08/17/2023, CCI, 21.9,46 55.56388N,017 39.41449E,0.8,12
0007,10:38:06 08/17/2023, CCI, 15.4,46 55.56347N,017 39.41390E,0.8,12
0008,10:38:10 08/17/2023, CCI, 22.9,46 55.56338N,017 39.41388E,0.8,12
0009,10:38:14 08/17/2023, CCI,  6.5,46 55.56325N,017 39.41377E,0.8,12
0010,10:38:16 08/17/2023, CCI, 22.8,46 55.56332N,017 39.41411E,0.8,12
0011,10:38:22 08/17/2023, CCI, 16.5,46 55.56373N,017 39.41368E,0.8,12
0012,10:38:27 08/17/2023, CCI,  9.6,46 55.56373N,017 39.41368E,0.8,12
0013,10:38:31 08/17/2023, CCI, 15.6,46 55.56385N,017 39.41357E,0.9,12
0014,10:38:33 08/17/2023, CCI, 15.0,46 55.56394N,017 39.41389E,0.8,12
0015,10:38:38 08/17/2023, CCI, 17.6,46 55.56394N,017 39.41389E,0.8,12
0016,10:38:42 08/17/2023, CCI, 18.8,46 55.56404N,017 39.41342E,0.8,12
0017,10:38:46 08/17/2023, CCI, 20.2,46 55.56440N,017 39.41281E,0.8,12
0018,10:38:50 08/17/2023, CCI, 16.2,46 55.56451N,017 39.41264E,0.8,12
0019,10:38:52 08/17/2023, CCI, 16.6,46 55.56480N,017 39.41232E,0.8,12
0020,10:39:04 08/17/2023, CCI,  4.1,46 55.56480N,017 39.41232E,0.8,12
Sample,Time/Date,Units,Reading,Lat,Lon,DOP,# Sat
0001,10:40:29 08/17/2023, CCI,  6.3,46 55.56295N,017 39.41416E,0.8,12
0002,10:40:44 08/17/2023, CCI,  2.0,46 55.56421N,017 39.41357E,0.8,12
0003,10:40:52 08/17/2023, CCI, 21.8,46 55.56377N,017 39.41451E,0.8,12
0004,10:40:54 08/17/2023, CCI, 14.0,46 55.56410N,017 39.41471E,0.8,12
0005,10:41:12 08/17/2023, CCI, 21.3,46 55.56410N,017 39.41471E,0.8,12
0006,10:41:18 08/17/2023, CCI, 19.4,46 55.56397N,017 39.41445E,0.8,12
0007,10:41:29 08/17/2023, CCI, 10.2,46 55.56401N,017 39.41326E,0.8,12
0008,10:41:38 08/17/2023, CCI, 14.1,46 55.56398N,017 39.41481E,0.8,12
