FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------
index	time	id	760 [nm]	635 [nm]	NDVI	description	
1	10:38:40  28.4.2022	NDVI	2807	345	0.78		
2	10:39:01  28.4.2022	NDVI	2875	323	0.80		
3	10:39:32  28.4.2022	NDVI	2956	504	0.71		
4	10:40:00  28.4.2022	NDVI	2896	389	0.76		
5	10:40:13  28.4.2022	NDVI	2813	317	0.80		
6	10:40:30  28.4.2022	NDVI	2858	370	0.77		
7	10:40:42  28.4.2022	NDVI	2952	404	0.76		
8	10:40:54  28.4.2022	NDVI	2898	374	0.77		
9	10:41:02  28.4.2022	NDVI	2785	348	0.78		
10	10:41:30  28.4.2022	NDVI	2782	319	0.79		
11	10:41:42  28.4.2022	NDVI	2833	348	0.78		
12	10:41:51  28.4.2022	NDVI	2857	317	0.80		
13	10:42:03  28.4.2022	NDVI	2819	302	0.81		
14	10:42:13  28.4.2022	NDVI	2879	342	0.79		
15	10:42:23  28.4.2022	NDVI	2896	339	0.79		
16	10:42:35  28.4.2022	NDVI	2851	339	0.79		
17	10:42:49  28.4.2022	NDVI	2855	409	0.75		
18	10:43:03  28.4.2022	NDVI	2888	351	0.78		
19	10:43:30  28.4.2022	NDVI	2589	292	0.80		
20	10:43:44  28.4.2022	NDVI	2887	364	0.78		
21	10:44:00  28.4.2022	NDVI	2806	345	0.78		
22	10:44:07  28.4.2022	NDVI	2891	388	0.76		
23	10:44:18  28.4.2022	NDVI	2854	383	0.76		
24	10:44:27  28.4.2022	NDVI	2753	309	0.80		
25	10:44:42  28.4.2022	NDVI	2831	374	0.77		
26	10:44:57  28.4.2022	NDVI	2994	475	0.73		
27	10:45:09  28.4.2022	NDVI	2984	494	0.72		
28	10:45:37  28.4.2022	NDVI	2929	391	0.76		
29	10:45:50  28.4.2022	NDVI	2807	327	0.79		
30	10:46:10  28.4.2022	NDVI	2866	329	0.79		
31	10:46:25  28.4.2022	NDVI	2934	404	0.76		
32	10:46:36  28.4.2022	NDVI	2829	335	0.79		
33	10:47:05  28.4.2022	NDVI	2851	360	0.78		
34	10:47:15  28.4.2022	NDVI	2895	399	0.76		
35	10:47:25  28.4.2022	NDVI	2859	338	0.79		
36	10:47:34  28.4.2022	NDVI	2824	343	0.78		
37	10:47:57  28.4.2022	NDVI	2929	483	0.72		
38	10:48:17  28.4.2022	NDVI	2893	452	0.73		
39	10:48:29  28.4.2022	NDVI	2869	484	0.71		
40	10:48:42  28.4.2022	NDVI	2888	467	0.72		
41	10:48:59  28.4.2022	NDVI	2922	615	0.65		
42	10:49:13  28.4.2022	NDVI	2806	486	0.70		
43	10:49:27  28.4.2022	NDVI	3045	698	0.63		
44	10:49:40  28.4.2022	NDVI	3007	666	0.64		
45	10:49:52  28.4.2022	NDVI	2664	958	0.47		
46	10:50:17  28.4.2022	NDVI	2848	463	0.72		
47	10:50:29  28.4.2022	NDVI	2884	684	0.62		
48	10:50:45  28.4.2022	NDVI	2945	787	0.58		
49	10:51:02  28.4.2022	NDVI	3056	647	0.65		
50	10:51:15  28.4.2022	NDVI	3020	842	0.56		
51	10:51:29  28.4.2022	NDVI	2881	493	0.71		
52	10:51:38  28.4.2022	NDVI	2886	493	0.71		
53	10:51:57  28.4.2022	NDVI	2892	539	0.69		
54	10:52:14  28.4.2022	NDVI	3029	549	0.69		
55	10:52:33  28.4.2022	NDVI	2653	371	0.75		
56	10:52:40  28.4.2022	NDVI	2727	340	0.78		
57	10:52:49  28.4.2022	NDVI	2786	368	0.77		
58	10:52:56  28.4.2022	NDVI	2896	435	0.74		
59	10:53:05  28.4.2022	NDVI	2938	399	0.76		
60	10:53:17  28.4.2022	NDVI	2679	362	0.76		
61	10:53:25  28.4.2022	NDVI	2833	409	0.75		
62	10:53:37  28.4.2022	NDVI	2773	397	0.75		
63	10:53:46  28.4.2022	NDVI	2874	350	0.78		
64	10:54:37  28.4.2022	NDVI	2819	452	0.72		
65	10:54:42  28.4.2022	NDVI	2837	456	0.72		
66	10:54:50  28.4.2022	NDVI	2954	413	0.75		
67	10:54:57  28.4.2022	NDVI	2903	417	0.75		
68	10:55:12  28.4.2022	NDVI	2764	374	0.76		
69	10:55:19  28.4.2022	NDVI	2814	491	0.70		
70	10:55:31  28.4.2022	NDVI	2762	423	0.73		
71	10:55:41  28.4.2022	NDVI	2752	335	0.78		
72	10:55:50  28.4.2022	NDVI	2609	331	0.77		
73	11:01:04  28.4.2022	NDVI	2835	376	0.77		
74	11:01:18  28.4.2022	NDVI	2787	346	0.78		
75	11:01:26  28.4.2022	NDVI	2906	411	0.75		
76	11:01:33  28.4.2022	NDVI	2830	401	0.75		
77	11:01:42  28.4.2022	NDVI	2788	365	0.77		
78	11:01:50  28.4.2022	NDVI	2824	377	0.76		
79	11:02:00  28.4.2022	NDVI	2681	359	0.76		
80	11:02:11  28.4.2022	NDVI	2728	392	0.75		
81	11:02:22  28.4.2022	NDVI	2661	399	0.74		
82	11:02:44  28.4.2022	NDVI	2647	333	0.78		
83	11:02:52  28.4.2022	NDVI	2718	309	0.80		
84	11:02:59  28.4.2022	NDVI	2699	327	0.78		
85	11:03:08  28.4.2022	NDVI	2810	416	0.74		
86	11:03:16  28.4.2022	NDVI	2791	394	0.75		
87	11:03:24  28.4.2022	NDVI	2791	350	0.78		
88	11:03:32  28.4.2022	NDVI	2757	415	0.74		
89	11:03:44  28.4.2022	NDVI	2796	411	0.74		
90	11:03:53  28.4.2022	NDVI	2671	339	0.77		
91	11:04:15  28.4.2022	NDVI	2750	341	0.78		
92	11:04:22  28.4.2022	NDVI	2778	363	0.77		
93	11:04:29  28.4.2022	NDVI	2763	387	0.75		
94	11:04:37  28.4.2022	NDVI	2830	421	0.74		
95	11:04:45  28.4.2022	NDVI	2785	376	0.76		
96	11:04:54  28.4.2022	NDVI	2700	369	0.76		
97	11:05:02  28.4.2022	NDVI	2766	425	0.73		
98	11:05:11  28.4.2022	NDVI	2639	336	0.77		
99	11:05:21  28.4.2022	NDVI	2747	390	0.75		
100	11:05:42  28.4.2022	NDVI	2739	390	0.75		
101	11:05:55  28.4.2022	NDVI	2767	342	0.78		
102	11:06:07  28.4.2022	NDVI	2911	465	0.72		
103	11:06:17  28.4.2022	NDVI	2758	398	0.75		
104	11:06:27  28.4.2022	NDVI	2797	376	0.76		
105	11:06:39  28.4.2022	NDVI	2774	405	0.75		
